ID,ED50_1,ED50_2,Species
Site1_176,35.20,37.16,Ac
Site1_281,37.33,39.66,Ac
Site1_168,36.51,43.82,Ac
Site1_170,38.93,38.29,Ac
Site1_49,39.06,40.19,Ac
Site1_299,36.31,38.54,Ac
Site1_215,39.80,40.07,Ac
Site1_283,37.85,40.52,Ac
Site1_292,38.92,38.15,Ac
Site2_260,37.77,37.23,Ac
Site2_451,37.51,36.50,Ac
Site2_415,38.64,35.66,Ac
Site2_404,42.39,36.76,Ac
Site2_448,38.03,38.75,Ac
Site2_424,38.65,36.45,Ac
Site2_208,37.12,36.67,Ac
Site2_218,36.87,36.67,Ac
Site2_206,36.77,39.21,Ac
Site2_210,36.67,35.55,Ac
Site2_406,38.31,37.84,Ac
Site1-214,38.97,40.99,Af
Site1-113,40.10,38.67,Af
Site1-207,39.94,36.73,Af
Site1-205,38.04,39.16,Af
Site1-120,40.30,45.20,Af
Site1-178,38.87,41.42,Af
Site1-175,38.42,38.66,Af
Site1-161,49.77,39.34,Af
Site1-171,39.18,40.17,Af
Site1-197,38.57,38.23,Af
Site1-169,42.26,37.36,Af
Site2-273,39.89,40.27,Af
Site2-269,38.27,39.26,Af
Site2-268,39.47,37.98,Af
Site2-271,37.46,38.24,Af
Site2-450,39.44,40.28,Af
Site2-452,39.74,38.73,Af
Site2-458,37.95,40.13,Af
Site2-272,40.11,38.32,Af
Site2-443,39.35,39.88,Af
Site2-425,39.56,38.42,Af
Site2-453,39.76,39.59,Af
